Month,Airline,Market_Share
2017-10,IndiGo,0.00%
2018-10,IndiGo,1.35%
2019-10,IndiGo,2.43%
2019-10,IndiGo,0.01%
2020-10,IndiGo,0.04%
2021-10,IndiGo,0.02%
2022-10,IndiGo,2.63%
2022-10,IndiGo,0.10%
2023-10,IndiGo,3.25%
2023-10,IndiGo,0.09%
2024-10,IndiGo,3.57%
2024-10,IndiGo,0.02%
2020-11,IndiGo,1.03%
2021-11,IndiGo,1.48%
2024-11,IndiGo,0.00%
2015-11,IndiGo,14.72%
2016-11,IndiGo,17.72%
2017-11,IndiGo,16.93%
2018-11,IndiGo,18.10%
2019-11,IndiGo,21.94%
2020-11,IndiGo,24.65%
2021-11,IndiGo,24.42%
2022-11,IndiGo,23.83%
2023-11,IndiGo,25.74%
2024-11,IndiGo,26.49%
2015-11,IndiGo,0.74%
2016-11,IndiGo,0.77%
2016-11,IndiGo,0.00%
2017-11,IndiGo,1.03%
2017-11,IndiGo,0.00%
2018-11,IndiGo,1.53%
2019-11,IndiGo,2.48%
2019-11,IndiGo,0.02%
2020-11,IndiGo,0.05%
2021-11,IndiGo,0.01%
2022-11,IndiGo,2.75%
2022-11,IndiGo,0.11%
2023-11,IndiGo,3.42%
2023-11,IndiGo,0.09%
2024-11,IndiGo,3.50%
2024-11,IndiGo,0.02%
2020-12,IndiGo,1.08%
2021-12,IndiGo,1.72%
2024-12,IndiGo,0.00%
2015-12,IndiGo,14.61%
2016-12,IndiGo,16.72%
2017-12,IndiGo,16.76%
2018-12,IndiGo,18.07%
2019-12,IndiGo,21.80%
2020-12,IndiGo,24.55%
2021-12,IndiGo,24.37%
2022-12,IndiGo,23.47%
2023-12,IndiGo,25.64%
2024-12,IndiGo,26.66%
2015-12,IndiGo,0.76%
2015-12,IndiGo,0.00%
2016-12,IndiGo,0.81%
2016-12,IndiGo,0.00%
2017-12,IndiGo,1.10%
2017-12,IndiGo,0.00%
2018-12,IndiGo,1.63%
2019-12,IndiGo,2.73%
2019-12,IndiGo,0.02%
2020-12,IndiGo,0.05%
2021-12,IndiGo,0.01%
2022-12,IndiGo,2.73%
2022-12,IndiGo,0.10%
2023-12,IndiGo,3.38%
2023-12,IndiGo,0.09%
2024-12,IndiGo,3.70%
2024-12,IndiGo,0.02%
